date,クリック数,表示回数,費用,コンバージョン,コンバージョン単価,CPA,リースバック,リバースモーゲージ,リバース60,任意売却,住宅ローン 払えない,不動産担保ローン
2026-05-29,89,1397,78649,2.0,39325.0,39324.5,61,74,24,71,100,81
2026-05-30,105,1466,86868,1.0,86868.0,86868.0,61,74,24,71,100,81
2026-05-31,104,1203,53026,1.0,53026.0,53026.0,65,60,19,56,32,61
2026-06-01,92,1173,50373,1.0,50373.0,50373.0,65,60,19,56,32,61
2026-06-02,46,765,61400,0.0,0.0,0.0,65,60,19,56,32,61
2026-06-03,53,796,30285,0.0,0.0,0.0,65,60,19,56,32,61
2026-06-04,31,783,31033,0.0,0.0,0.0,65,60,19,56,32,61
2026-06-05,53,902,24170,0.0,0.0,0.0,65,60,19,56,32,61
2026-06-06,50,576,49309,4.0,12327.0,12327.25,65,60,19,56,32,61
2026-06-07,40,638,39597,1.0,39597.0,39597.0,69,57,18,62,40,60
2026-06-08,13,233,9055,1.0,9055.0,9055.0,69,57,18,62,40,60
