キャンペーンのパフォーマンス
2021年1月1日 - 2026年6月15日
時間帯,曜日,キャンペーン,クリック数,表示回数,クリック率,通貨コード,平均クリック単価,費用,コンバージョン,コンバージョン率,コンバージョン単価
0,木曜日,L2_一般｜リースバック - LP07,1,9,11.11%,JPY,1120,1120,0.00,0.00%,0
0,金曜日,L2_一般｜リースバック - LP07,0,11,0.00%,JPY,0,0,0.00,0,0
0,土曜日,L2_一般｜リースバック - LP07,2,24,8.33%,JPY,725,1449,0.00,0.00%,0
0,日曜日,L2_一般｜リースバック - new,3,24,12.50%,JPY,1125,3374,0.00,0.00%,0
0,月曜日,L2_一般｜リースバック - new,2,8,25.00%,JPY,2084,4168,0.00,0.00%,0
0,土曜日,L2_一般｜リースバック - new,1,12,8.33%,JPY,220,220,0.00,0.00%,0
0,土曜日,L2_一般｜リースバック - new 完全一致,0,3,0.00%,JPY,0,0,0.00,0,0
0,水曜日,02_一般／リースバック-部分一致｜埼玉LP06,6,35,17.14%,JPY,626,3755,0.00,0.00%,0
0,日曜日,02_一般／リースバック-部分一致｜福岡,0,1,0.00%,JPY,0,0,0.00,0,0
0,月曜日,02_一般／リースバック-部分一致｜福岡,0,0,0,JPY,0,0,0.00,0,0
0,火曜日,02_一般／リースバック-部分一致｜福岡,1,4,25.00%,JPY,177,177,0.00,0.00%,0
0,水曜日,02_一般／リースバック-部分一致｜福岡,0,4,0.00%,JPY,0,0,0.00,0,0
0,木曜日,02_一般／リースバック-部分一致｜福岡,0,6,0.00%,JPY,0,0,0.00,0,0
0,金曜日,02_一般／リースバック-部分一致｜福岡,0,1,0.00%,JPY,0,0,0.00,0,0
0,土曜日,02_一般／リースバック-部分一致｜福岡,0,0,0,JPY,0,0,0.00,0,0
0,日曜日,02_一般／リースバック-部分一致｜リスタート,0,0,0,JPY,0,0,0.00,0,0
0,月曜日,02_一般／リースバック-部分一致｜リスタート,1,33,3.03%,JPY,1728,1728,0.00,0.00%,0
0,火曜日,02_一般／リースバック-部分一致｜リスタート,4,52,7.69%,JPY,2442,9768,0.00,0.00%,0
0,水曜日,02_一般／リースバック-部分一致｜リスタート,3,40,7.50%,JPY,311,933,0.00,0.00%,0
0,木曜日,02_一般／リースバック-部分一致｜リスタート,0,0,0,JPY,0,0,0.00,0,0
0,金曜日,02_一般／リースバック-部分一致｜リスタート,0,0,0,JPY,0,0,0.00,0,0
0,土曜日,02_一般／リースバック-部分一致｜リスタート,4,32,12.50%,JPY,2296,9182,0.00,0.00%,0
0,日曜日,02_一般／リースバック-フレーズ以上,0,0,0,JPY,0,0,0.00,0,0
0,月曜日,02_一般／リースバック-フレーズ以上,0,0,0,JPY,0,0,0.00,0,0
0,火曜日,02_一般／リースバック-フレーズ以上,0,0,0,JPY,0,0,0.00,0,0
0,水曜日,02_一般／リースバック-フレーズ以上,0,0,0,JPY,0,0,0.00,0,0
0,木曜日,02_一般／リースバック-フレーズ以上,0,0,0,JPY,0,0,0.00,0,0
0,金曜日,02_一般／リースバック-フレーズ以上,0,0,0,JPY,0,0,0.00,0,0
0,土曜日,02_一般／リースバック-フレーズ以上,0,0,0,JPY,0,0,0.00,0,0
0,日曜日,L2_リースバック｜最適化テスト,0,0,0,JPY,0,0,0.00,0,0
0,日曜日,【CP】検索_リースバックコンサル,8,137,5.84%,JPY,1103,8823,0.00,0.00%,0
0,月曜日,【CP】検索_リースバックコンサル,4,111,3.60%,JPY,2102,8409,0.00,0.00%,0
0,火曜日,【CP】検索_リースバックコンサル,10,157,6.37%,JPY,1134,11340,0.00,0.00%,0
0,水曜日,【CP】検索_リースバックコンサル,16,214,7.48%,JPY,5351,85621,0.00,0.00%,0
0,木曜日,【CP】検索_リースバックコンサル,16,193,8.29%,JPY,2217,35480,3.00,18.75%,11827
0,金曜日,【CP】検索_リースバックコンサル,17,173,9.83%,JPY,1964,33380,1.00,5.88%,33380
0,土曜日,【CP】検索_リースバックコンサル,18,162,11.11%,JPY,2708,48749,2.00,11.11%,24374
0,日曜日,【CP】P-MAX_リースバックコンサル,155,"7,289",2.13%,JPY,26,3988,0.00,0.00%,0
0,月曜日,【CP】P-MAX_リースバックコンサル,5,219,2.28%,JPY,74,372,0.00,0.00%,0
0,火曜日,【CP】P-MAX_リースバックコンサル,2,142,1.41%,JPY,467,934,0.00,0.00%,0
0,水曜日,【CP】P-MAX_リースバックコンサル,6,178,3.37%,JPY,98,588,1.00,11.11%,588
0,木曜日,【CP】P-MAX_リースバックコンサル,37,"2,682",1.38%,JPY,52,1925,0.00,0.00%,0
0,金曜日,【CP】P-MAX_リースバックコンサル,4,203,1.97%,JPY,288,1152,0.00,0.00%,0
0,土曜日,【CP】P-MAX_リースバックコンサル,56,"2,937",1.91%,JPY,52,2937,0.00,0.00%,0
0,日曜日,【CP】リマーケティング_リースバックコンサル,18,"1,025",1.76%,JPY,6,103,0.00,0.00%,0
0,月曜日,【CP】リマーケティング_リースバックコンサル,10,808,1.24%,JPY,40,398,0.00,0.00%,0
0,火曜日,【CP】リマーケティング_リースバックコンサル,6,535,1.12%,JPY,13,76,0.00,0.00%,0
0,水曜日,【CP】リマーケティング_リースバックコンサル,8,548,1.46%,JPY,10,84,0.00,0.00%,0
0,木曜日,【CP】リマーケティング_リースバックコンサル,1,209,0.48%,JPY,7,7,0.00,0.00%,0
0,金曜日,【CP】リマーケティング_リースバックコンサル,3,372,0.81%,JPY,43,129,0.00,0.00%,0
0,土曜日,【CP】リマーケティング_リースバックコンサル,4,340,1.18%,JPY,11,42,0.00,0.00%,0
0,日曜日,【CP】検索_「リースバック」完全一致のみ,1,9,11.11%,JPY,5954,5954,0.00,0.00%,0
0,月曜日,【CP】検索_「リースバック」完全一致のみ,1,2,50.00%,JPY,518,518,0.00,0.00%,0
0,火曜日,【CP】検索_「リースバック」完全一致のみ,1,2,50.00%,JPY,1718,1718,0.00,0.00%,0
0,水曜日,【CP】検索_「リースバック」完全一致のみ,0,8,0.00%,JPY,0,0,0.00,0,0
0,木曜日,【CP】検索_「リースバック」完全一致のみ,0,1,0.00%,JPY,0,0,0.00,0,0
0,土曜日,【CP】検索_「リースバック」完全一致のみ,1,3,33.33%,JPY,9358,9358,0.00,0.00%,0
0,日曜日,NEW［不動産］リースバック,0,0,0,JPY,0,0,0.00,0,0
0,月曜日,NEW［不動産］リースバック,0,0,0,JPY,0,0,0.00,0,0
0,火曜日,NEW［不動産］リースバック,0,0,0,JPY,0,0,0.00,0,0
0,水曜日,NEW［不動産］リースバック,0,0,0,JPY,0,0,0.00,0,0
0,木曜日,NEW［不動産］リースバック,0,0,0,JPY,0,0,0.00,0,0
0,金曜日,NEW［不動産］リースバック,0,0,0,JPY,0,0,0.00,0,0
