date,リースバック,リバースモーゲージ,リバース60,任意売却,住宅ローン 払えない,不動産担保ローン,競売 不動産
2024-04-21,55,24,9,62,0,67,14
2024-04-28,49,22,6,50,46,51,7
2024-05-05,56,27,11,54,0,61,6
2024-05-12,60,31,7,57,51,59,12
2024-05-19,63,27,9,62,56,70,11
2024-05-26,47,30,6,66,55,69,13
2024-06-02,43,27,13,69,60,65,8
2024-06-09,59,33,43,57,0,59,12
2024-06-16,60,34,32,40,0,56,14
2024-06-23,47,26,8,52,59,54,12
2024-06-30,50,22,9,56,0,72,12
2024-07-07,43,19,9,68,0,70,10
2024-07-14,45,26,9,47,0,42,11
2024-07-21,48,26,0,57,0,62,13
2024-07-28,45,19,6,63,0,57,14
2024-08-04,50,24,6,76,52,56,14
2024-08-11,44,23,0,66,0,54,11
2024-08-18,53,24,5,59,38,60,16
2024-08-25,49,24,5,72,0,65,14
2024-09-01,58,28,9,65,0,75,16
2024-09-08,56,31,35,70,46,63,13
2024-09-15,61,38,32,65,0,64,14
2024-09-22,49,30,13,68,40,52,10
2024-09-29,49,24,6,63,0,67,12
2024-10-06,56,26,9,62,36,50,12
2024-10-13,47,27,0,49,50,72,16
2024-10-20,52,26,0,69,37,53,19
2024-10-27,47,22,9,72,46,68,20
2024-11-03,65,23,9,57,67,68,14
2024-11-10,58,28,8,74,39,69,14
2024-11-17,60,23,26,63,0,80,16
2024-11-24,63,31,20,71,56,72,13
2024-12-01,53,29,8,56,0,61,14
2024-12-08,56,29,8,89,38,65,16
2024-12-15,55,24,6,57,39,65,15
2024-12-22,44,27,0,83,0,48,14
2024-12-29,33,24,7,46,0,43,8
2025-01-05,49,25,11,50,46,57,15
2025-01-12,54,28,7,62,81,67,19
2025-01-19,56,25,10,57,41,75,17
2025-01-26,54,51,40,34,36,74,12
2025-02-02,50,32,28,40,0,69,17
2025-02-09,54,26,11,32,0,65,12
2025-02-16,58,32,14,54,38,72,16
2025-02-23,51,25,10,45,0,63,8
2025-03-02,60,29,7,43,0,80,11
2025-03-09,44,22,8,45,0,64,15
2025-03-16,57,32,0,41,45,69,11
2025-03-23,52,20,8,45,53,70,10
2025-03-30,50,18,0,36,43,70,16
2025-04-06,54,28,6,36,38,59,12
2025-04-13,52,23,7,44,0,63,14
2025-04-20,53,25,9,54,0,55,12
2025-04-27,43,25,25,41,0,60,10
2025-05-04,53,29,57,22,0,53,10
2025-05-11,85,100,30,46,52,65,13
2025-05-18,72,73,13,40,0,76,14
2025-05-25,61,42,0,45,44,65,19
2025-06-01,65,35,10,39,36,62,9
2025-06-08,74,35,9,42,0,58,11
2025-06-15,62,31,6,50,0,71,13
2025-06-22,51,31,11,39,40,69,10
2025-06-29,61,34,9,38,39,64,12
2025-07-06,42,30,6,44,40,64,11
2025-07-13,48,24,10,33,38,67,8
2025-07-20,37,27,7,32,40,58,12
2025-07-27,39,36,6,35,0,61,12
2025-08-03,49,33,6,48,0,49,12
2025-08-10,34,33,34,30,0,57,10
2025-08-17,53,33,35,31,43,57,12
2025-08-24,60,28,0,29,0,69,8
2025-08-31,55,31,0,34,0,73,15
2025-09-07,52,39,5,37,0,56,15
2025-09-14,40,24,8,32,0,66,14
2025-09-21,42,27,6,44,0,54,14
2025-09-28,62,22,8,43,0,100,13
2025-10-05,49,22,8,49,0,71,17
2025-10-12,58,17,6,30,0,66,12
2025-10-19,89,29,8,48,0,69,17
2025-10-26,62,27,9,59,40,60,20
2025-11-02,100,27,30,38,0,57,14
2025-11-09,65,32,37,49,0,62,14
2025-11-16,59,23,11,41,0,62,12
2025-11-23,55,30,7,37,0,62,11
2025-11-30,60,46,0,44,36,59,11
2025-12-07,60,34,17,53,0,59,18
2025-12-14,54,21,0,29,0,60,17
2025-12-21,48,17,6,42,0,56,12
2025-12-28,34,23,0,20,0,26,6
2026-01-04,52,24,32,40,0,77,13
2026-01-11,51,28,42,42,0,74,16
2026-01-18,65,28,13,43,0,83,16
2026-01-25,55,26,8,39,0,74,16
2026-02-01,57,33,9,35,36,70,11
2026-02-08,59,19,7,51,0,67,12
2026-02-15,68,27,8,53,0,78,14
2026-02-22,70,23,11,72,0,79,11
2026-03-01,71,23,11,46,0,70,19
2026-03-08,57,22,10,45,0,60,14
2026-03-15,59,15,7,54,44,71,14
2026-03-22,57,22,7,33,43,67,14
2026-03-29,47,19,0,48,39,63,12
2026-04-05,52,21,8,48,0,57,11
2026-04-12,50,19,5,37,0,59,14
2026-04-19,50,22,8,43,36,71,12
2026-04-26,40,26,6,35,0,64,12
2026-05-03,45,29,40,30,0,46,10
2026-05-10,60,25,37,45,0,77,13
2026-05-17,52,27,15,44,0,60,29
2026-05-24,63,32,9,51,39,81,38
2026-05-31,72,29,6,33,23,62,53
2026-06-07,71,26,7,43,32,57,100
2026-06-14,46,14,6,29,26,35,16
