キャンペーンのパフォーマンス
2021年1月1日 - 2026年6月15日
日,キャンペーン,クリック数,表示回数,クリック率,通貨コード,平均クリック単価,費用,コンバージョン,コンバージョン率,コンバージョン単価,すべてのコンバージョン,すべてのコンバージョン値,検索広告の最上部インプレッション シェア,検索広告の上部インプレッション シェア,検索広告のインプレッション シェア,検索広告の IS 損失率（ランク）,検索広告の IS 損失率（予算）
2022-09-19,02_一般／リースバック-部分一致｜再々構築,153,832,18.39%,JPY,231,35280,0.00,0.00%,0,0.00,0.00,< 10 %,24.83%,26.02%,8.45%,65.53%
2022-09-20,02_一般／リースバック-部分一致｜再々構築,80,"1,310",6.11%,JPY,407,32541,3.00,3.75%,10847,3.00,0.00,< 10 %,17.94%,20.50%,55.30%,24.20%
2022-09-21,02_一般／リースバック-部分一致｜再々構築,117,756,15.48%,JPY,254,29707,3.00,2.56%,9902,3.00,0.00,< 10 %,23.39%,26.17%,63.80%,10.02%
2022-09-22,02_一般／リースバック-部分一致｜再々構築,69,555,12.43%,JPY,430,29679,3.00,4.35%,9893,3.00,0.00,< 10 %,17.90%,21.15%,44.13%,34.72%
2022-09-23,02_一般／リースバック-部分一致｜再々構築,64,"1,402",4.56%,JPY,415,26553,2.00,3.13%,13276,2.00,0.00,< 10 %,20.20%,23.21%,74.33%,2.46%
2022-09-24,02_一般／リースバック-部分一致｜再々構築,60,587,10.22%,JPY,485,29083,4.00,6.67%,7271,4.00,0.00,< 10 %,20.56%,23.58%,63.95%,12.47%
2022-09-25,02_一般／リースバック-部分一致｜再々構築,56,487,11.50%,JPY,455,25467,1.00,1.79%,25467,1.00,0.00,< 10 %,18.94%,21.81%,47.02%,31.17%
2022-09-26,02_一般／リースバック-部分一致｜再々構築,67,599,11.19%,JPY,451,30247,4.00,5.97%,7562,4.00,0.00,< 10 %,16.81%,19.41%,66.81%,13.78%
2022-09-27,02_一般／リースバック-部分一致｜再々構築,71,489,14.52%,JPY,421,29860,2.00,2.82%,14930,2.00,0.00,< 10 %,15.46%,17.59%,56.74%,25.68%
2022-09-28,02_一般／リースバック-部分一致｜再々構築,72,593,12.14%,JPY,437,31494,1.00,1.39%,31494,1.00,0.00,< 10 %,17.07%,18.96%,35.53%,45.51%
2022-09-29,02_一般／リースバック-部分一致｜再々構築,64,548,11.68%,JPY,552,35298,2.00,3.13%,17649,2.00,0.00,< 10 %,18.49%,21.69%,50.00%,28.31%
2022-09-30,02_一般／リースバック-部分一致｜再々構築,68,547,12.43%,JPY,352,23927,3.00,4.41%,7976,3.00,0.00,< 10 %,19.55%,23.58%,61.47%,14.95%
2022-10-01,02_一般／リースバック-部分一致｜再々構築,54,387,13.95%,JPY,543,29328,0.00,0.00%,0,0.00,0.00,< 10 %,23.58%,26.71%,70.55%,2.74%
2022-10-02,02_一般／リースバック-部分一致｜再々構築,76,438,17.35%,JPY,464,35233,2.00,2.63%,17617,2.00,0.00,< 10 %,19.79%,22.15%,33.47%,44.37%
2022-10-03,02_一般／リースバック-部分一致｜再々構築,81,594,13.64%,JPY,424,34332,3.00,3.70%,11444,3.00,0.00,< 10 %,18.68%,21.01%,58.60%,20.39%
2022-10-04,02_一般／リースバック-部分一致｜再々構築,45,482,9.34%,JPY,708,31854,1.00,2.22%,31854,1.00,0.00,< 10 %,15.81%,18.62%,55.29%,26.09%
2022-10-05,02_一般／リースバック-部分一致｜再々構築,33,386,8.55%,JPY,698,23042,1.00,3.03%,23042,1.00,0.00,< 10 %,14.88%,17.18%,81.06%,1.76%
2022-10-06,02_一般／リースバック-部分一致｜再々構築,63,541,11.65%,JPY,500,31526,3.00,4.76%,10509,3.00,0.00,< 10 %,17.71%,20.01%,78.61%,1.38%
2022-10-07,02_一般／リースバック-部分一致｜再々構築,40,383,10.44%,JPY,419,16751,1.00,2.50%,16751,1.00,0.00,< 10 %,12.15%,14.84%,83.67%,1.49%
2022-10-08,02_一般／リースバック-部分一致｜再々構築,22,203,10.84%,JPY,623,13709,2.00,9.09%,6855,2.00,0.00,< 10 %,11.76%,14.43%,85.57%,0.00%
2022-10-09,02_一般／リースバック-部分一致｜再々構築,73,408,17.89%,JPY,310,22632,1.00,1.37%,22632,1.00,0.00,< 10 %,23.42%,26.15%,73.85%,0.00%
2022-10-10,02_一般／リースバック-部分一致｜再々構築,116,603,19.24%,JPY,411,47717,1.00,0.86%,47717,1.00,0.00,< 10 %,26.77%,29.33%,70.35%,0.32%
2022-10-11,02_一般／リースバック-部分一致｜再々構築,50,390,12.82%,JPY,608,30379,1.00,2.00%,30379,1.00,0.00,< 10 %,12.85%,15.81%,84.19%,0.00%
2022-10-12,02_一般／リースバック-部分一致｜再々構築,42,284,14.79%,JPY,350,14692,0.00,0.00%,0,0.00,0.00,< 10 %,11.10%,12.74%,87.26%,0.00%
2022-10-13,02_一般／リースバック-部分一致｜再々構築,35,388,9.02%,JPY,304,10649,0.00,0.00%,0,0.00,0.00,< 10 %,12.25%,15.03%,84.97%,0.00%
2022-10-14,02_一般／リースバック-部分一致｜再々構築,25,260,9.62%,JPY,440,10992,1.00,4.00%,10992,1.00,0.00,< 10 %,10.18%,13.73%,86.27%,0.00%
2022-10-15,02_一般／リースバック-部分一致｜再々構築,28,281,9.96%,JPY,449,12568,1.00,3.57%,12568,1.00,0.00,< 10 %,15.33%,18.22%,81.78%,0.00%
2022-10-16,02_一般／リースバック-部分一致｜再々構築,36,345,10.43%,JPY,318,11449,0.00,0.00%,0,0.00,0.00,< 10 %,12.72%,14.73%,85.27%,0.00%
2022-10-17,02_一般／リースバック-部分一致｜再々構築,18,183,9.84%,JPY,380,6848,1.00,5.56%,6848,1.00,0.00,< 10 %,< 10 %,< 10 %,> 90 %,0.00%
2022-10-18,02_一般／リースバック-部分一致｜再々構築,26,187,13.90%,JPY,295,7668,1.00,3.85%,7668,1.00,0.00,< 10 %,< 10 %,< 10 %,> 90 %,0.00%
2022-10-19,02_一般／リースバック-部分一致｜再々構築,40,255,15.69%,JPY,186,7424,1.00,2.50%,7424,1.00,0.00,< 10 %,< 10 %,10.97%,89.03%,0.00%
2022-10-20,02_一般／リースバック-部分一致｜再々構築,18,210,8.57%,JPY,254,4572,2.00,11.11%,2286,2.00,0.00,< 10 %,< 10 %,< 10 %,> 90 %,0.00%
2022-10-21,02_一般／リースバック-部分一致｜再々構築,18,139,12.95%,JPY,249,4485,0.00,0.00%,0,0.00,0.00,< 10 %,< 10 %,< 10 %,> 90 %,0.00%
2022-10-22,02_一般／リースバック-部分一致｜再々構築,20,256,7.81%,JPY,256,5115,0.00,0.00%,0,0.00,0.00,< 10 %,10.17%,12.64%,87.36%,0.00%
2022-10-23,02_一般／リースバック-部分一致｜再々構築,24,187,12.83%,JPY,376,9023,1.00,4.17%,9023,1.00,0.00,< 10 %,12.42%,14.15%,85.85%,0.00%
2022-10-24,02_一般／リースバック-部分一致｜再々構築,88,658,13.37%,JPY,266,23404,1.33,1.52%,17553,1.33,0.00,< 10 %,21.08%,23.57%,76.43%,0.00%
2022-10-25,02_一般／リースバック-部分一致｜再々構築,52,353,14.73%,JPY,505,26284,2.67,5.13%,9856,2.67,0.00,< 10 %,13.75%,16.90%,83.10%,0.00%
2022-10-26,02_一般／リースバック-部分一致｜再々構築,44,285,15.44%,JPY,468,20583,0.00,0.00%,0,0.00,0.00,< 10 %,13.31%,15.37%,84.63%,0.00%
2022-10-27,02_一般／リースバック-部分一致｜再々構築,52,422,12.32%,JPY,466,24247,2.00,3.85%,12124,2.00,0.00,< 10 %,17.16%,19.55%,80.45%,0.00%
2022-10-28,02_一般／リースバック-部分一致｜再々構築,65,503,12.92%,JPY,576,37410,0.00,0.00%,0,0.00,0.00,< 10 %,20.46%,24.38%,75.62%,0.00%
2022-10-29,02_一般／リースバック-部分一致｜再々構築,37,295,12.54%,JPY,723,26747,2.00,5.41%,13374,2.00,0.00,< 10 %,18.88%,20.64%,79.36%,0.00%
2022-10-30,02_一般／リースバック-部分一致｜再々構築,48,431,11.14%,JPY,604,28971,2.00,4.17%,14486,2.00,0.00,< 10 %,24.51%,28.85%,71.15%,0.00%
2022-10-31,02_一般／リースバック-部分一致｜再々構築,60,671,8.94%,JPY,505,30301,2.00,3.33%,15151,2.00,0.00,< 10 %,18.69%,22.59%,77.41%,0.00%
2022-11-01,02_一般／リースバック-部分一致｜再々構築,56,430,13.02%,JPY,894,50056,1.00,1.79%,50056,1.00,0.00,< 10 %,16.02%,19.33%,80.46%,0.21%
2022-11-02,02_一般／リースバック-部分一致｜再々構築,68,502,13.55%,JPY,328,22332,1.00,1.47%,22332,1.00,0.00,< 10 %,19.57%,21.94%,78.06%,0.00%
2022-11-03,02_一般／リースバック-部分一致｜再々構築,67,580,11.55%,JPY,464,31102,1.00,1.49%,31102,1.00,0.00,< 10 %,24.48%,28.96%,71.04%,0.00%
2022-11-04,02_一般／リースバック-部分一致｜再々構築,101,620,16.29%,JPY,324,32678,1.00,0.99%,32678,1.00,0.00,< 10 %,22.43%,24.54%,75.46%,0.00%
2022-11-05,02_一般／リースバック-部分一致｜再々構築,89,509,17.49%,JPY,470,41830,4.00,4.49%,10458,4.00,0.00,< 10 %,26.37%,29.00%,64.73%,6.27%
2022-11-06,02_一般／リースバック-部分一致｜再々構築,58,405,14.32%,JPY,553,32075,0.00,0.00%,0,0.00,0.00,< 10 %,22.25%,24.62%,67.31%,8.07%
2022-11-07,02_一般／リースバック-部分一致｜再々構築,56,415,13.49%,JPY,511,28641,1.00,1.79%,28641,1.00,0.00,< 10 %,14.10%,15.93%,84.07%,0.00%
2022-11-08,02_一般／リースバック-部分一致｜再々構築,44,415,10.60%,JPY,447,19657,2.00,4.55%,9829,2.00,0.00,< 10 %,14.14%,16.63%,83.37%,0.00%
2022-11-09,02_一般／リースバック-部分一致｜再々構築,69,472,14.62%,JPY,442,30482,0.00,0.00%,0,0.00,0.00,< 10 %,15.98%,18.54%,81.46%,0.00%
2022-11-10,02_一般／リースバック-部分一致｜再々構築,110,674,16.32%,JPY,430,47288,1.00,0.91%,47288,1.00,0.00,< 10 %,20.76%,23.47%,76.53%,0.00%
2022-11-11,02_一般／リースバック-部分一致｜再々構築,59,488,12.09%,JPY,462,27231,1.00,1.69%,27231,1.00,0.00,< 10 %,22.19%,25.72%,74.28%,0.00%
2022-11-12,02_一般／リースバック-部分一致｜再々構築,52,347,14.99%,JPY,480,24964,0.00,0.00%,0,0.00,0.00,< 10 %,22.65%,26.42%,73.58%,0.00%
2022-11-13,02_一般／リースバック-部分一致｜再々構築,49,308,15.91%,JPY,468,22956,1.00,2.04%,22956,1.00,0.00,< 10 %,17.44%,20.44%,79.56%,0.00%
2022-11-14,02_一般／リースバック-部分一致｜再々構築,58,378,15.34%,JPY,334,19348,2.00,3.45%,9674,2.00,0.00,< 10 %,14.46%,16.63%,83.37%,0.00%
2022-11-15,02_一般／リースバック-部分一致｜再々構築,20,206,9.71%,JPY,502,10031,0.00,0.00%,0,0.00,0.00,< 10 %,< 10 %,11.03%,88.97%,0.00%
2022-11-16,02_一般／リースバック-部分一致｜再々構築,25,205,12.20%,JPY,440,11006,0.00,0.00%,0,0.00,0.00,< 10 %,10.72%,13.98%,86.02%,0.00%
2022-11-17,02_一般／リースバック-部分一致｜再々構築,15,226,6.64%,JPY,449,6730,0.00,0.00%,0,0.00,0.00,< 10 %,11.01%,14.02%,85.98%,0.00%
2022-11-18,02_一般／リースバック-部分一致｜再々構築,23,194,11.86%,JPY,245,5634,2.00,8.70%,2817,2.00,0.00,< 10 %,< 10 %,11.64%,88.36%,0.00%
2022-11-18,02_一般／リースバック-部分一致｜再々構築 #2,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2022-11-19,02_一般／リースバック-部分一致｜再々構築,0,14,0.00%,JPY,0,0,0.00,0,0,0.00,0.00,< 10 %,< 10 %,< 10 %,> 90 %,0.00%
2022-11-19,02_一般／リースバック-部分一致｜再々構築 #2,30,222,13.51%,JPY,840,25203,0.00,0.00%,0,0.00,0.00,< 10 %,32.48%,40.81%,59.19%,0.00%
2022-11-20,02_一般／リースバック-部分一致｜再々構築 #2,48,376,12.77%,JPY,943,45285,2.00,4.17%,22643,2.00,0.00,< 10 %,41.57%,48.00%,37.43%,14.57%
2022-11-21,02_一般／リースバック-部分一致｜再々構築 #2,61,391,15.60%,JPY,596,36348,0.00,0.00%,0,0.00,0.00,< 10 %,23.96%,28.37%,19.31%,52.32%
2022-11-22,02_一般／リースバック-部分一致｜再々構築 #2,45,509,8.84%,JPY,821,36945,4.00,8.89%,9236,4.00,0.00,< 10 %,17.33%,21.48%,17.28%,61.23%
2022-11-23,02_一般／リースバック-部分一致｜再々構築 #2,46,458,10.04%,JPY,856,39359,3.00,6.52%,13120,3.00,0.00,< 10 %,21.79%,25.39%,11.66%,62.94%
2022-11-24,02_一般／リースバック-部分一致｜再々構築 #2,48,385,12.47%,JPY,740,35531,1.00,2.08%,35531,1.00,0.00,< 10 %,14.51%,17.70%,21.57%,60.73%
2022-11-25,02_一般／リースバック-部分一致｜再々構築 #2,49,501,9.78%,JPY,709,34765,2.00,4.08%,17383,2.00,0.00,< 10 %,25.36%,30.06%,57.48%,12.46%
2022-11-26,02_一般／リースバック-部分一致｜再々構築 #2,48,477,10.06%,JPY,1387,66562,2.00,4.17%,33281,2.00,0.00,< 10 %,32.98%,38.76%,47.52%,13.71%
2022-11-27,02_一般／リースバック-部分一致｜再々構築 #2,44,474,9.28%,JPY,889,39121,1.00,2.27%,39121,1.00,0.00,< 10 %,34.52%,39.42%,60.58%,0.00%
2022-11-28,02_一般／リースバック-部分一致｜再々構築 #2,77,504,15.28%,JPY,836,64401,3.00,3.90%,21467,3.00,0.00,< 10 %,19.18%,21.75%,31.58%,46.67%
2022-11-29,02_一般／リースバック-部分一致｜再々構築 #2,73,680,10.74%,JPY,610,44558,1.00,1.37%,44558,1.00,0.00,< 10 %,25.23%,29.32%,54.50%,16.17%
2022-11-30,02_一般／リースバック-部分一致｜再々構築 #2,66,604,10.93%,JPY,766,50536,0.00,0.00%,0,0.00,0.00,< 10 %,30.79%,36.27%,62.06%,1.67%
2022-12-01,02_一般／リースバック-部分一致｜再々構築 #2,84,416,20.19%,JPY,664,55739,3.00,3.57%,18580,3.00,0.00,< 10 %,17.46%,21.09%,31.71%,47.20%
2022-12-02,02_一般／リースバック-部分一致｜再々構築 #2,45,370,12.16%,JPY,671,30208,1.00,2.22%,30208,1.00,0.00,< 10 %,22.51%,26.95%,71.03%,2.02%
2022-12-03,02_一般／リースバック-部分一致｜再々構築 #2,52,330,15.76%,JPY,808,42017,0.00,0.00%,0,0.00,0.00,< 10 %,19.94%,22.85%,77.15%,0.00%
2022-12-04,02_一般／リースバック-部分一致｜再々構築 #2,50,306,16.34%,JPY,702,35110,3.00,6.00%,11703,3.00,0.00,< 10 %,17.74%,21.32%,78.68%,0.00%
2022-12-05,02_一般／リースバック-部分一致｜再々構築 #2,101,704,14.35%,JPY,432,43606,3.00,2.97%,14535,3.00,0.00,< 10 %,24.35%,27.02%,72.98%,0.00%
2022-12-06,02_一般／リースバック-部分一致｜再々構築 #2,67,524,12.79%,JPY,733,49132,3.00,4.48%,16377,3.00,0.00,< 10 %,19.15%,22.94%,77.06%,0.00%
2022-12-07,02_一般／リースバック-部分一致｜再々構築 #2,122,716,17.04%,JPY,481,58648,2.00,1.64%,29324,2.00,0.00,< 10 %,24.69%,27.75%,72.25%,0.00%
2022-12-08,02_一般／リースバック-部分一致｜再々構築 #2,84,534,15.73%,JPY,545,45750,1.00,1.19%,45750,1.00,0.00,< 10 %,18.05%,20.87%,79.13%,0.00%
2022-12-09,02_一般／リースバック-部分一致｜再々構築 #2,62,508,12.20%,JPY,487,30222,0.00,0.00%,0,0.00,0.00,< 10 %,18.66%,21.57%,78.43%,0.00%
2022-12-10,02_一般／リースバック-部分一致｜再々構築 #2,62,377,16.45%,JPY,655,40580,2.00,3.23%,20290,2.00,0.00,< 10 %,30.89%,33.87%,66.13%,0.00%
2022-12-11,02_一般／リースバック-部分一致｜再々構築 #2,72,504,14.29%,JPY,516,37116,1.00,1.39%,37116,1.00,0.00,< 10 %,28.43%,31.06%,68.94%,0.00%
2022-12-12,02_一般／リースバック-部分一致｜再々構築 #2,71,594,11.95%,JPY,777,55151,1.40,1.97%,39394,1.40,0.00,< 10 %,18.22%,21.54%,78.46%,0.00%
2022-12-13,02_一般／リースバック-部分一致｜再々構築 #2,52,465,11.18%,JPY,676,35126,0.60,1.15%,58543,0.60,0.00,< 10 %,20.97%,25.68%,74.32%,0.00%
2022-12-14,02_一般／リースバック-部分一致｜再々構築 #2,70,528,13.26%,JPY,671,46985,2.00,2.86%,23493,2.00,0.00,< 10 %,24.43%,28.36%,71.64%,0.00%
2022-12-15,02_一般／リースバック-部分一致｜再々構築 #2,37,323,11.46%,JPY,494,18266,0.00,0.00%,0,0.00,0.00,< 10 %,14.88%,17.82%,82.18%,0.00%
2022-12-16,02_一般／リースバック-部分一致｜再々構築 #2,16,137,11.68%,JPY,831,13294,1.00,6.25%,13294,1.00,0.00,< 10 %,< 10 %,< 10 %,> 90 %,0.00%
2022-12-17,02_一般／リースバック-部分一致｜再々構築 #2,21,151,13.91%,JPY,574,12049,1.00,4.76%,12049,1.00,0.00,< 10 %,13.66%,16.55%,83.45%,0.00%
2022-12-18,02_一般／リースバック-部分一致｜再々構築 #2,13,103,12.62%,JPY,687,8932,0.00,0.00%,0,0.00,0.00,< 10 %,< 10 %,< 10 %,> 90 %,0.00%
2022-12-19,02_一般／リースバック-部分一致｜再々構築 #2,40,308,12.99%,JPY,229,9160,0.00,0.00%,0,0.00,0.00,< 10 %,12.25%,14.26%,85.74%,0.00%
2022-12-20,02_一般／リースバック-部分一致｜再々構築 #2,22,162,13.58%,JPY,503,11055,2.00,9.09%,5528,2.00,0.00,< 10 %,< 10 %,< 10 %,> 90 %,0.00%
2022-12-21,02_一般／リースバック-部分一致｜再々構築 #2,17,134,12.69%,JPY,328,5584,0.00,0.00%,0,0.00,0.00,< 10 %,< 10 %,< 10 %,> 90 %,0.00%
2022-12-22,02_一般／リースバック-部分一致｜再々構築 #2,30,141,21.28%,JPY,369,11070,0.00,0.00%,0,0.00,0.00,< 10 %,< 10 %,< 10 %,> 90 %,0.00%
2022-12-23,02_一般／リースバック-部分一致｜再々構築 #2,10,119,8.40%,JPY,320,3199,0.00,0.00%,0,0.00,0.00,< 10 %,< 10 %,< 10 %,> 90 %,0.00%
2022-12-24,02_一般／リースバック-部分一致｜再々構築 #2,20,157,12.74%,JPY,372,7449,2.00,10.00%,3725,2.00,0.00,< 10 %,10.00%,11.93%,88.07%,0.00%
2022-12-25,02_一般／リースバック-部分一致｜再々構築 #2,16,157,10.19%,JPY,538,8610,0.00,0.00%,0,0.00,0.00,< 10 %,< 10 %,11.69%,88.31%,0.00%
2022-12-26,02_一般／リースバック-部分一致｜再々構築 #2,26,215,12.09%,JPY,576,14985,0.00,0.00%,0,0.00,0.00,< 10 %,< 10 %,10.41%,89.59%,0.00%
2022-12-27,02_一般／リースバック-部分一致｜再々構築 #2,22,191,11.52%,JPY,508,11178,0.00,0.00%,0,0.00,0.00,< 10 %,< 10 %,10.44%,89.56%,0.00%
2022-12-28,02_一般／リースバック-部分一致｜再々構築 #2,21,189,11.11%,JPY,401,8413,1.00,4.76%,8413,1.00,0.00,< 10 %,10.28%,12.80%,87.20%,0.00%
2022-12-29,02_一般／リースバック-部分一致｜再々構築 #2,22,153,14.38%,JPY,478,10523,0.00,0.00%,0,0.00,0.00,< 10 %,12.80%,13.73%,86.27%,0.00%
2022-12-30,02_一般／リースバック-部分一致｜再々構築 #2,19,148,12.84%,JPY,349,6639,0.00,0.00%,0,0.00,0.00,< 10 %,15.05%,16.82%,83.18%,0.00%
2022-12-31,02_一般／リースバック-部分一致｜再々構築 #2,24,144,16.67%,JPY,286,6868,1.00,4.17%,6868,1.00,0.00,< 10 %,16.76%,19.45%,80.55%,0.00%
2023-01-01,02_一般／リースバック-部分一致｜再々構築 #2,15,136,11.03%,JPY,297,4451,0.00,0.00%,0,0.00,0.00,< 10 %,16.59%,19.05%,80.95%,0.00%
2023-01-02,02_一般／リースバック-部分一致｜再々構築 #2,33,205,16.10%,JPY,287,9486,0.00,0.00%,0,0.00,0.00,< 10 %,17.65%,20.05%,79.95%,0.00%
2023-01-03,02_一般／リースバック-部分一致｜再々構築 #2,27,202,13.37%,JPY,372,10052,2.00,7.41%,5026,2.00,0.00,< 10 %,15.41%,17.77%,82.23%,0.00%
2023-01-04,02_一般／リースバック-部分一致｜再々構築 #2,106,653,16.23%,JPY,368,39011,2.00,1.89%,19506,2.00,0.00,< 10 %,21.60%,25.88%,74.12%,0.00%
2023-01-05,02_一般／リースバック-部分一致｜再々構築 #2,61,488,12.50%,JPY,296,18061,1.00,1.64%,18061,1.00,0.00,< 10 %,14.67%,18.05%,81.95%,0.00%
2023-01-06,02_一般／リースバック-部分一致｜再々構築 #2,66,460,14.35%,JPY,433,28566,0.00,0.00%,0,0.00,0.00,< 10 %,14.92%,18.20%,81.80%,0.00%
2023-01-07,02_一般／リースバック-部分一致｜再々構築 #2,43,309,13.92%,JPY,456,19629,2.00,4.65%,9815,2.00,0.00,< 10 %,15.22%,17.58%,82.42%,0.00%
2023-01-08,02_一般／リースバック-部分一致｜再々構築 #2,39,300,13.00%,JPY,577,22497,1.00,2.56%,22497,1.00,0.00,< 10 %,14.35%,16.59%,83.41%,0.00%
2023-01-09,02_一般／リースバック-部分一致｜再々構築 #2,94,484,19.42%,JPY,456,42837,2.00,2.13%,21418,2.00,0.00,< 10 %,16.86%,19.57%,80.43%,0.00%
2023-01-10,02_一般／リースバック-部分一致｜再々構築 #2,40,384,10.42%,JPY,615,24593,4.00,10.00%,6148,4.00,0.00,< 10 %,11.41%,15.53%,84.47%,0.00%
2023-01-11,02_一般／リースバック-部分一致｜再々構築 #2,29,268,10.82%,JPY,418,12136,1.00,3.45%,12136,1.00,0.00,< 10 %,< 10 %,11.67%,88.33%,0.00%
2023-01-12,02_一般／リースバック-部分一致｜再々構築 #2,35,414,8.45%,JPY,392,13709,0.00,0.00%,0,0.00,0.00,< 10 %,12.65%,16.21%,83.79%,0.00%
2023-01-13,02_一般／リースバック-部分一致｜再々構築 #2,28,318,8.81%,JPY,382,10689,0.00,0.00%,0,0.00,0.00,< 10 %,11.10%,14.72%,85.28%,0.00%
2023-01-14,02_一般／リースバック-部分一致｜再々構築 #2,50,396,12.63%,JPY,578,28890,2.00,4.00%,14445,2.00,0.00,< 10 %,17.51%,20.85%,79.15%,0.00%
2023-01-15,02_一般／リースバック-部分一致｜再々構築 #2,51,327,15.60%,JPY,456,23264,1.00,1.96%,23264,1.00,0.00,< 10 %,16.48%,18.83%,81.17%,0.00%
2023-01-16,02_一般／リースバック-部分一致｜再々構築 #2,53,497,10.66%,JPY,581,30817,0.00,0.00%,0,0.00,0.00,< 10 %,17.35%,21.06%,78.94%,0.00%
2023-01-17,02_一般／リースバック-部分一致｜再々構築 #2,55,460,11.96%,JPY,390,21433,3.00,5.45%,7144,3.00,0.00,< 10 %,17.80%,21.42%,78.58%,0.00%
2023-01-18,02_一般／リースバック-部分一致｜再々構築 #2,38,353,10.76%,JPY,418,15875,1.00,2.63%,15875,1.00,0.00,< 10 %,13.88%,17.19%,82.81%,0.00%
2023-01-19,02_一般／リースバック-部分一致｜再々構築 #2,52,512,10.16%,JPY,573,29816,1.00,1.92%,29816,1.00,0.00,< 10 %,15.78%,18.60%,81.40%,0.00%
2023-01-20,02_一般／リースバック-部分一致｜再々構築 #2,57,460,12.39%,JPY,426,24285,1.00,1.75%,24285,1.00,0.00,< 10 %,15.14%,18.51%,81.49%,0.00%
2023-01-21,02_一般／リースバック-部分一致｜再々構築 #2,39,386,10.10%,JPY,519,20222,0.00,0.00%,0,0.00,0.00,< 10 %,18.01%,21.11%,78.89%,0.00%
2023-01-22,02_一般／リースバック-部分一致｜再々構築 #2,87,603,14.43%,JPY,523,45463,3.00,3.45%,15154,3.00,0.00,< 10 %,27.24%,29.49%,70.51%,0.00%
2023-01-23,02_一般／リースバック-部分一致｜再々構築 #2,79,609,12.97%,JPY,460,36361,1.00,1.27%,36361,1.00,0.00,< 10 %,19.32%,22.47%,77.53%,0.00%
2023-01-24,02_一般／リースバック-部分一致｜再々構築 #2,33,354,9.32%,JPY,541,17845,1.00,3.03%,17845,1.00,0.00,< 10 %,13.92%,16.79%,83.21%,0.00%
2023-01-25,02_一般／リースバック-部分一致｜再々構築 #2,32,298,10.74%,JPY,464,14862,3.00,9.38%,4954,3.00,0.00,< 10 %,10.41%,14.01%,85.99%,0.00%
2023-01-26,02_一般／リースバック-部分一致｜再々構築 #2,43,287,14.98%,JPY,446,19188,1.00,2.33%,19188,1.00,0.00,< 10 %,10.09%,12.69%,87.31%,0.00%
2023-01-27,02_一般／リースバック-部分一致｜再々構築 #2,37,289,12.80%,JPY,514,19034,1.00,2.70%,19034,1.00,0.00,< 10 %,10.08%,13.25%,86.75%,0.00%
2023-01-28,02_一般／リースバック-部分一致｜再々構築 #2,46,412,11.17%,JPY,520,23907,4.00,8.70%,5977,4.00,0.00,< 10 %,18.75%,22.26%,77.74%,0.00%
2023-01-29,02_一般／リースバック-部分一致｜再々構築 #2,53,386,13.73%,JPY,507,26897,1.00,1.89%,26897,1.00,0.00,< 10 %,17.54%,23.13%,76.87%,0.00%
2023-01-30,02_一般／リースバック-部分一致｜再々構築 #2,41,464,8.84%,JPY,436,17892,2.00,4.88%,8946,2.00,0.00,< 10 %,14.97%,19.22%,80.78%,0.00%
2023-01-31,02_一般／リースバック-部分一致｜再々構築 #2,54,504,10.71%,JPY,606,32716,1.00,1.85%,32716,1.00,0.00,< 10 %,17.03%,21.23%,78.77%,0.00%
2023-02-01,02_一般／リースバック-部分一致｜再々構築 #2,56,481,11.64%,JPY,765,42838,2.00,3.57%,21419,2.00,0.00,< 10 %,17.06%,20.21%,79.49%,0.30%
2023-02-02,02_一般／リースバック-部分一致｜再々構築 #2,65,776,8.38%,JPY,507,32977,1.00,1.54%,32977,1.00,0.00,< 10 %,15.77%,18.94%,81.06%,0.00%
2023-02-03,02_一般／リースバック-部分一致｜再々構築 #2,54,842,6.41%,JPY,445,24024,1.00,1.85%,24024,1.00,0.00,< 10 %,15.08%,18.05%,81.95%,0.00%
2023-02-04,02_一般／リースバック-部分一致｜再々構築 #2,37,577,6.41%,JPY,379,14040,0.00,0.00%,0,0.00,0.00,< 10 %,13.12%,15.97%,84.03%,0.00%
2023-02-05,02_一般／リースバック-部分一致｜再々構築 #2,81,858,9.44%,JPY,418,33854,2.00,2.47%,16927,2.00,0.00,< 10 %,23.28%,25.89%,74.11%,0.00%
2023-02-06,02_一般／リースバック-部分一致｜再々構築 #2,87,"1,162",7.49%,JPY,433,37686,1.00,1.15%,37686,1.00,0.00,< 10 %,20.35%,22.60%,77.40%,0.00%
2023-02-07,02_一般／リースバック-部分一致｜再々構築 #2,27,703,3.84%,JPY,433,11680,1.00,3.70%,11680,1.00,0.00,< 10 %,11.00%,13.07%,86.93%,0.00%
2023-02-08,02_一般／リースバック-部分一致｜再々構築 #2,51,591,8.63%,JPY,586,29905,1.00,1.96%,29905,1.00,0.00,< 10 %,11.71%,14.16%,85.84%,0.00%
2023-02-09,02_一般／リースバック-部分一致｜再々構築 #2,59,"1,055",5.59%,JPY,422,24903,1.00,1.69%,24903,1.00,0.00,< 10 %,14.00%,17.40%,82.60%,0.00%
2023-02-10,02_一般／リースバック-部分一致｜再々構築 #2,57,802,7.11%,JPY,392,22338,1.00,1.75%,22338,1.00,0.00,< 10 %,14.91%,18.11%,81.89%,0.00%
